cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
třmen,stirrup,amcr,HES-000671,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
udidlo,bridle bit,amcr,HES-000672,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
uhlíky/popel,charcoal/ash,amcr,HES-000781,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
valoun,pebble,amcr,HES-000833,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vejce,eggshell,amcr,HES-000646,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek,sample,amcr,HES-000818,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek antrakologický,anthracological sample,amcr,HES-000763,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek dendrochronologický,dendrochronological sample,amcr,HES-000758,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek geologický,geological sample,amcr,HES-000685,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek malakologický,malacological sample,amcr,HES-000686,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek paleobotanický,palaeobotanical sample,amcr,HES-000698,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek palynologický,palynological sample,amcr,HES-000692,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek pedologický,pedological sample,amcr,HES-000697,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek pro radiokarbonové datování,radiocarbon dating sample,amcr,HES-000759,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
váza,vase,amcr,HES-000841,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vědro/situla,bucket/situla,amcr,HES-000819,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zavazadlo,luggage,amcr,HES-000638,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zbraň chladná,cold weapon,amcr,HES-000713,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zbraň palná,firearm,amcr,HES-000649,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek keramiky,potsherd,amcr,HES-000705,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek kosti,bone fragment,amcr,HES-000639,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek mazanice,daub fragment,amcr,HES-000706,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zub,tooth,amcr,HES-000647,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zámek,lock,amcr,HES-000817,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
zápona,clasp,amcr,HES-000637,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zásobnice,storage vessel,amcr,HES-000767,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
záušnice,temple ring,amcr,HES-000838,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží,weight,amcr,HES-000718,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží rybářské,net weight,amcr,HES-000721,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží tkalcovské,loom weight,amcr,HES-000723,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
čepel/čepelka,blade/small blade,amcr,HES-000662,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
člun,boat,amcr,HES-000744,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
řetízek,chain necklace,amcr,HES-000756,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
řetěz,chain,amcr,HES-000814,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šavle,sabre,amcr,HES-000791,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
škrabadlo,endscraper,amcr,HES-000660,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šídlo,awl,amcr,HES-000827,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šíp/šipka/hrot šípu/šipky,arrow/arrowhead,amcr,HES-000792,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
žernov/mlýnský kámen,quern,amcr,HES-000725,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
žeton,token,amcr,HES-000762,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
HaD–LtA,HaD–LtA,amcr,HES-000309,obdobi,období,Chronology,heslar:obdobi,0
aurignacien,Aurignacian,amcr,HES-000262,obdobi,období,Chronology,heslar:obdobi,0
badenská kultura,Baden Culture,amcr,HES-000317,obdobi,období,Chronology,heslar:obdobi,0
billendorfská kultura,Billendorf Culture,amcr,HES-000330,obdobi,období,Chronology,heslar:obdobi,0
billendorfská kultura (HaC),Billendorf Culture (HaC),amcr,HES-000377,obdobi,období,Chronology,heslar:obdobi,0
bohunicien,Bohunician,amcr,HES-000261,obdobi,období,Chronology,heslar:obdobi,0
bošácká skupina,Bošáca Group,amcr,HES-000357,obdobi,období,Chronology,heslar:obdobi,0
bylanská kultura,Bylany Culture,amcr,HES-000331,obdobi,období,Chronology,heslar:obdobi,0
chamská kultura,Cham Culture,amcr,HES-000371,obdobi,období,Chronology,heslar:obdobi,0
chebská kultura,Cheb Culture,amcr,HES-000294,obdobi,období,Chronology,heslar:obdobi,0
datace neurčena,unspecified dating,amcr,HES-000316,obdobi,období,Chronology,heslar:obdobi,0
doba bronzová,Bronze Age,amcr,HES-000390,obdobi,období,Chronology,heslar:obdobi,0
doba bronzová–halštatská,Bronze Age–Hallstatt Period,amcr,HES-000384,obdobi,období,Chronology,heslar:obdobi,0
doba halštatská,Hallstatt Period,amcr,HES-000354,obdobi,období,Chronology,heslar:obdobi,0
doba halštatská–laténská,Hallstatt–La Tène Period,amcr,HES-000334,obdobi,období,Chronology,heslar:obdobi,0
doba laténská,La Tène Period,amcr,HES-000254,obdobi,období,Chronology,heslar:obdobi,0
doba laténská–římská,La Tène–Roman Period,amcr,HES-000288,obdobi,období,Chronology,heslar:obdobi,0
doba stěhování národů,Migration Period,amcr,HES-000342,obdobi,období,Chronology,heslar:obdobi,0
doba římská,Roman Period,amcr,HES-000335,obdobi,období,Chronology,heslar:obdobi,0
doba římská–stěhování národů,Roman–Migration Period,amcr,HES-000346,obdobi,období,Chronology,heslar:obdobi,0
dobrodzieńská skupina,Dobrodzień Group,amcr,HES-000344,obdobi,období,Chronology,heslar:obdobi,0
eneolit,Eneolithic,amcr,HES-000285,obdobi,období,Chronology,heslar:obdobi,0
epigravettien,Epigravettian,amcr,HES-000263,obdobi,období,Chronology,heslar:obdobi,0
epimagdalénien,Epimagdalenian,amcr,HES-000265,obdobi,období,Chronology,heslar:obdobi,0
gravettien,Gravettian,amcr,HES-000311,obdobi,období,Chronology,heslar:obdobi,0
halštatská mohylová kultura,Hallstatt Tumulus Culture,amcr,HES-000332,obdobi,období,Chronology,heslar:obdobi,0
hatvanská kultura,Hatvan Culture,amcr,HES-000320,obdobi,období,Chronology,heslar:obdobi,0
horákovská kultura,Horákov Culture,amcr,HES-000307,obdobi,období,Chronology,heslar:obdobi,0
industriální období,Industrial Period,amcr,HES-000347,obdobi,období,Chronology,heslar:obdobi,0
industriální období 1,Industrial Period 1,amcr,HES-000348,obdobi,období,Chronology,heslar:obdobi,0
industriální období 2,Industrial Period 2,amcr,HES-000349,obdobi,období,Chronology,heslar:obdobi,0
jevišovická kultura,Jevišovice Culture,amcr,HES-000373,obdobi,období,Chronology,heslar:obdobi,0
jordanovská kultura,Jordanów Culture,amcr,HES-000287,obdobi,období,Chronology,heslar:obdobi,0
knovízská kultura,Knovíz Culture,amcr,HES-000293,obdobi,období,Chronology,heslar:obdobi,0
kobylská skupina,Kobyly Group,amcr,HES-000259,obdobi,období,Chronology,heslar:obdobi,0
krumlovien,Krumlovian,amcr,HES-000314,obdobi,období,Chronology,heslar:obdobi,0
kultura Chlopice-Veselé,Chlopice-Veselé Culture,amcr,HES-000352,obdobi,období,Chronology,heslar:obdobi,0
kultura Kosihy-Čaka,Kosihy-Čaka Culture,amcr,HES-000351,obdobi,období,Chronology,heslar:obdobi,0
kultura Retz-Bajč-Křepice,Retz-Bajč-Křepice (Furchenstich) Culture,amcr,HES-000367,obdobi,období,Chronology,heslar:obdobi,0
kultura kulovitých amfor,Globular Amphora Culture,amcr,HES-000279,obdobi,období,Chronology,heslar:obdobi,0
kultura münchshöfenská,Münchshofen Culture,amcr,HES-000389,obdobi,období,Chronology,heslar:obdobi,0
kultura nálevkovitých pohárů,Funnel Beaker Culture,amcr,HES-000368,obdobi,období,Chronology,heslar:obdobi,0
kultura przeworská,Przeworsk Culture,amcr,HES-000257,obdobi,období,Chronology,heslar:obdobi,0
kultura púchovská,Púchov Culture,amcr,HES-000256,obdobi,období,Chronology,heslar:obdobi,0
kultura s lineární keramikou,Linear Pottery Culture,amcr,HES-000269,obdobi,období,Chronology,heslar:obdobi,0
kultura s moravskou malovanou keramikou 1,Moravian Painted Ware Culture 1,amcr,HES-000362,obdobi,období,Chronology,heslar:obdobi,0
kultura s moravskou malovanou keramikou 2,Moravian Painted Ware Culture 2,amcr,HES-000363,obdobi,období,Chronology,heslar:obdobi,0
kultura s vypíchanou keramikou,Stroke Pottery Culture,amcr,HES-000361,obdobi,období,Chronology,heslar:obdobi,0
kultura se šňůrovou keramikou,Corded Ware Culture,amcr,HES-000375,obdobi,období,Chronology,heslar:obdobi,0
kultura zvoncovitých pohárů,Bell Beaker Culture,amcr,HES-000318,obdobi,období,Chronology,heslar:obdobi,0
lengyelská kultura,Lengyel Culture,amcr,HES-000306,obdobi,období,Chronology,heslar:obdobi,0
lužická kultura,Lusatian Culture,amcr,HES-000337,obdobi,období,Chronology,heslar:obdobi,0
magdalénien,Magdalenian,amcr,HES-000283,obdobi,období,Chronology,heslar:obdobi,0
mezolit,Mesolithic,amcr,HES-000275,obdobi,období,Chronology,heslar:obdobi,0
michelsberská kultura,Michelsberg Culture,amcr,HES-000365,obdobi,období,Chronology,heslar:obdobi,0
micoquien,Micoquien,amcr,HES-000292,obdobi,období,Chronology,heslar:obdobi,0
milavečská kultura,Milavče Culture,amcr,HES-000339,obdobi,období,Chronology,heslar:obdobi,0
miškovický typ,Míškovice Type,amcr,HES-000282,obdobi,období,Chronology,heslar:obdobi,0
mladší doba bronzová,Late Bronze Age,amcr,HES-000290,obdobi,období,Chronology,heslar:obdobi,0
mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),amcr,HES-000310,obdobi,období,Chronology,heslar:obdobi,0
mladší doba stěhování národů,Late Migration Period,amcr,HES-000345,obdobi,období,Chronology,heslar:obdobi,0
mladší doba římská,Late Roman Period,amcr,HES-000341,obdobi,období,Chronology,heslar:obdobi,0
mladší eneolit,Late Eneolithic,amcr,HES-000280,obdobi,období,Chronology,heslar:obdobi,0
mladší paleolit,Upper Palaeolithic,amcr,HES-000315,obdobi,období,Chronology,heslar:obdobi,0
mladší/pozdní eneolit,Late/Final Eneolithic,amcr,HES-000374,obdobi,období,Chronology,heslar:obdobi,0
mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),amcr,HES-000255,obdobi,období,Chronology,heslar:obdobi,0
mladší–pozdní eneolit,Late–Final Eneolithic,amcr,HES-001479,obdobi_kat,období (kategorie),Chronology,heslar:obdobi_kat,0
moustérien,Mousterian,amcr,HES-000312,obdobi,období,Chronology,heslar:obdobi,0
neolit,Neolithic,amcr,HES-000267,obdobi,období,Chronology,heslar:obdobi,0
neolit–eneolit,Neolithic–Eneolithic,amcr,HES-000387,obdobi,období,Chronology,heslar:obdobi,0
nitranská kultura,Nitra Culture,amcr,HES-000359,obdobi,období,Chronology,heslar:obdobi,0
novověk,Modern Period,amcr,HES-000252,obdobi,období,Chronology,heslar:obdobi,1
novověk 1,Modern Period 1,amcr,HES-000381,obdobi,období,Chronology,heslar:obdobi,0
novověk 2,Modern Period 2,amcr,HES-000382,obdobi,období,Chronology,heslar:obdobi,0
novověk–industriální období,Modern–Industrial Period,amcr,HES-000350,obdobi,období,Chronology,heslar:obdobi,0
nynická kultura,Nynice Culture,amcr,HES-000299,obdobi,období,Chronology,heslar:obdobi,0
období popelnicových polí,Urnfield Period,amcr,HES-000281,obdobi,období,Chronology,heslar:obdobi,0
oberlauterbašská skupina,Oberlauterbach Group,amcr,HES-000305,obdobi,období,Chronology,heslar:obdobi,0
ohrozimský typ,Ohrozim Type,amcr,HES-000369,obdobi,období,Chronology,heslar:obdobi,0
ostroměřská skupina,Ostroměř Group,amcr,HES-000266,obdobi,období,Chronology,heslar:obdobi,0
paleolit,Palaeolithic,amcr,HES-000253,obdobi,období,Chronology,heslar:obdobi,0
paleolit–mezolit,Palaeolithic–Mesolithic,amcr,HES-000284,obdobi,období,Chronology,heslar:obdobi,0
platěnická kultura,Platěnice Culture,amcr,HES-000300,obdobi,období,Chronology,heslar:obdobi,0
plaňanský typ,Plaňany Type,amcr,HES-000393,obdobi,období,Chronology,heslar:obdobi,0
podmokelská skupina,Podmokly Group,amcr,HES-000329,obdobi,období,Chronology,heslar:obdobi,0
podolská kultura,Podolí Culture,amcr,HES-000353,obdobi,období,Chronology,heslar:obdobi,0
pozdní doba bronzová,Final Bronze Age,amcr,HES-000383,obdobi,období,Chronology,heslar:obdobi,0
pozdní doba laténská (LtD),Final La Tène Period (LtD),amcr,HES-000258,obdobi,období,Chronology,heslar:obdobi,0
pozdní paleolit,Epipalaeolithic,amcr,HES-000264,obdobi,období,Chronology,heslar:obdobi,0
pozdní středohradištní období,Final Middle Hillfort Period,amcr,HES-000278,obdobi,období,Chronology,heslar:obdobi,0
pozdní středověk,Late Middle Ages,amcr,HES-000271,obdobi,období,Chronology,heslar:obdobi,0
pozdněhradištní období,Final Hillfort Period,amcr,HES-000326,obdobi,období,Chronology,heslar:obdobi,0
pravěk,prehistory,amcr,HES-000289,obdobi,období,Chronology,heslar:obdobi,0
protoúnětická kultura,Proto-Únětice Culture,amcr,HES-000391,obdobi,období,Chronology,heslar:obdobi,0
přechod pozdní středověk/novověk,Late Middle Ages/Modern Transition,amcr,HES-000272,obdobi,období,Chronology,heslar:obdobi,1
přechod raný/vrcholný středověk,Early/High Middle Ages Transition,amcr,HES-000270,obdobi,období,Chronology,heslar:obdobi,1
rané mladohradištní období,Early Late Hillfort Period,amcr,HES-000356,obdobi,období,Chronology,heslar:obdobi,0
rané středohradištní období,Early Middle Hillfort Period,amcr,HES-000277,obdobi,období,Chronology,heslar:obdobi,0
raný středověk,Early Middle Ages,amcr,HES-000385,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 1,Early Middle Ages 1,amcr,HES-000386,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 2,Early Middle Ages 2,amcr,HES-000301,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 2–4,Early Middle Ages 2–4,amcr,HES-000276,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 3,Early Middle Ages 3,amcr,HES-000379,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 4,Early Middle Ages 4,amcr,HES-000325,obdobi,období,Chronology,heslar:obdobi,0
saská lužická kultura,Saxonian-Lusatian Culture,amcr,HES-000388,obdobi,období,Chronology,heslar:obdobi,0
schusseriedská kultura,Schussenried Culture,amcr,HES-000364,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura,Silesian-Platěnice Culture,amcr,HES-000295,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura (HaB),Silesian-Platěnice Culture (HaB),amcr,HES-000296,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura (HaC–D),Silesian–Platěnice Culture (HaC–D),amcr,HES-000378,obdobi,období,Chronology,heslar:obdobi,0
slezská kultura,Silesian Culture,amcr,HES-000298,obdobi,období,Chronology,heslar:obdobi,0
starší doba bronzová,Early Bronze Age,amcr,HES-000319,obdobi,období,Chronology,heslar:obdobi,0
starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),amcr,HES-000376,obdobi,období,Chronology,heslar:obdobi,0
starší doba stěhování národů,Early Migration Period,amcr,HES-000343,obdobi,období,Chronology,heslar:obdobi,0
starší doba římská,Early Roman Period,amcr,HES-000336,obdobi,období,Chronology,heslar:obdobi,0
starší eneolit,Early Eneolithic,amcr,HES-000366,obdobi,období,Chronology,heslar:obdobi,0
starší neolit,Early Neolithic,amcr,HES-000268,obdobi,období,Chronology,heslar:obdobi,0
starší paleolit,Lower Palaeolithic,amcr,HES-000291,obdobi,období,Chronology,heslar:obdobi,0
střední doba bronzová,Middle Bronze Age,amcr,HES-000322,obdobi,období,Chronology,heslar:obdobi,0
střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),amcr,HES-000333,obdobi,období,Chronology,heslar:obdobi,0
střední eneolit,Middle Eneolithic,amcr,HES-000370,obdobi,období,Chronology,heslar:obdobi,0
střední paleolit,Middle Palaeolithic,amcr,HES-000274,obdobi,období,Chronology,heslar:obdobi,0
střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),amcr,HES-001447,obdobi,období,Chronology,heslar:obdobi,0
střední–mladší neolit,Middle–Late Neolithic,amcr,HES-000360,obdobi,období,Chronology,heslar:obdobi,0
středodunajská mohylová kultura,Middle-Danubian Tumulus Culture,amcr,HES-000323,obdobi,období,Chronology,heslar:obdobi,0
středověk,Middle Ages,amcr,HES-000380,obdobi,období,Chronology,heslar:obdobi,0
středověk–novověk,Middle Ages–Modern Period,amcr,HES-000392,obdobi,období,Chronology,heslar:obdobi,0
szeletien,Szeletian,amcr,HES-000260,obdobi,období,Chronology,heslar:obdobi,0
taubachien,Taubachian,amcr,HES-000313,obdobi,období,Chronology,heslar:obdobi,0
turnovský typ,Turnov type,amcr,HES-000308,obdobi,období,Chronology,heslar:obdobi,0
velatická kultura,Velatice Culture,amcr,HES-000338,obdobi,období,Chronology,heslar:obdobi,0
vrcholný středověk,High Middle Ages,amcr,HES-000328,obdobi,období,Chronology,heslar:obdobi,1
vrcholný středověk–novověk,High Middle Ages–Modern Period,amcr,HES-000273,obdobi,období,Chronology,heslar:obdobi,0
vrcholný–pozdní středověk,High–Late Middle Ages,amcr,HES-000327,obdobi,období,Chronology,heslar:obdobi,0
vyspělé mladohradištní období,Advanced Late Hillfort Period,amcr,HES-000303,obdobi,období,Chronology,heslar:obdobi,0
vyspělé středohradištní období,Advanced Middle Hillfort Period,amcr,HES-000302,obdobi,období,Chronology,heslar:obdobi,0
věteřovská kultura,Věteřov Culture,amcr,HES-000321,obdobi,období,Chronology,heslar:obdobi,0
zemědělský pravěk,farming prehistory,amcr,HES-000304,obdobi,období,Chronology,heslar:obdobi,0
únětická kultura,Únětice Culture,amcr,HES-000358,obdobi,období,Chronology,heslar:obdobi,0
časná doba laténská (LtA),Early La Tène Period (LtA),amcr,HES-000355,obdobi,období,Chronology,heslar:obdobi,0
časný eneolit,Proto-Eneolithic,amcr,HES-000286,obdobi,období,Chronology,heslar:obdobi,0
českofalcká mohylová kultura,Bohemian-Palatinate Tumulus Culture,amcr,HES-000324,obdobi,období,Chronology,heslar:obdobi,0
řivnáčská kultura,Řivnáč Culture,amcr,HES-000372,obdobi,období,Chronology,heslar:obdobi,0
štítarská kultura,Štítary Culture,amcr,HES-000297,obdobi,období,Chronology,heslar:obdobi,0
šárecký typ,Šárka Type,amcr,HES-000394,obdobi,období,Chronology,heslar:obdobi,0
želiezovská skupina,Želizovce Group,amcr,HES-000340,obdobi,období,Chronology,heslar:obdobi,0
Afghánistán,Afghanistan,amcr,HES-001179,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Alandy,Åland Islands,amcr,HES-001180,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Albánie,Albania,amcr,HES-001181,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Alžírsko,Algeria,amcr,HES-001182,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Americká Samoa,American Samoa,amcr,HES-001183,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Americké Panenské ostrovy,Virgin Islands (U.S.),amcr,HES-001184,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Andorra,Andorra,amcr,HES-001185,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Angola,Angola,amcr,HES-001186,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Anguilla,Anguilla,amcr,HES-001187,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Antarktida,Antarctica,amcr,HES-001188,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Antigua a Barbuda,Antigua and Barbuda,amcr,HES-001189,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Argentina,Argentina,amcr,HES-001190,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Arménie,Armenia,amcr,HES-001191,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Aruba,Aruba,amcr,HES-001192,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Austrálie,Australia,amcr,HES-001193,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bahamy,Bahamas (the),amcr,HES-001195,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bahrajn,Bahrain,amcr,HES-001196,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bangladéš,Bangladesh,amcr,HES-001197,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Barbados,Barbados,amcr,HES-001402,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Belgie,Belgium,amcr,HES-001202,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Belize,Belize,amcr,HES-001334,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Benin,Benin,amcr,HES-001207,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bermudy,Bermuda,amcr,HES-001330,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bhútán,Bhutan,amcr,HES-001395,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bolívie,Bolivia (Plurinational State of),amcr,HES-001396,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
"Bonaire, Svatý Eustach a Saba","Bonaire, Sint Eustatius and Saba",amcr,HES-001328,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bosna a Hercegovina,Bosnia and Herzegovina,amcr,HES-001282,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Botswana,Botswana,amcr,HES-001377,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bouvetův ostrov,Bouvet Island,amcr,HES-001347,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Brazílie,Brazil,amcr,HES-001252,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Britské Panenské ostrovy,Virgin Islands (British),amcr,HES-001333,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Britské indickooceánské území,British Indian Ocean Territory (the),amcr,HES-001285,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Brunej,Brunei Darussalam,amcr,HES-001359,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bulharsko,Bulgaria,amcr,HES-001360,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Burkina Faso,Burkina Faso,amcr,HES-001361,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Burundi,Burundi,amcr,HES-001362,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Bělorusko,Belarus,amcr,HES-001329,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Chile,Chile,amcr,HES-001338,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Chorvatsko,Croatia,amcr,HES-001339,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Cookovy ostrovy,Cook Islands (the),amcr,HES-001283,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Curaçao,Curaçao,amcr,HES-001243,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Dominika,Dominica,amcr,HES-001309,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Dominikánská republika,Dominican Republic (the),amcr,HES-001350,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Dánsko,Denmark,amcr,HES-001250,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Džibutsko,Djibouti,amcr,HES-001317,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Egypt,Egypt,amcr,HES-001246,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Ekvádor,Ecuador,amcr,HES-001354,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Eritrea,Eritrea,amcr,HES-001394,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Estonsko,Estonia,amcr,HES-001232,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Etiopie,Ethiopia,amcr,HES-001335,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Faerské ostrovy,Faroe Islands (the),amcr,HES-001336,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Falklandy (Malvíny),Falkland Islands (the) (Malvinas),amcr,HES-001227,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Fidži,Fiji,amcr,HES-001337,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Filipíny,Philippines (the),amcr,HES-001261,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Finsko,Finland,amcr,HES-001262,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Francie,France,amcr,HES-001349,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Francouzská Guyana,French Guiana,amcr,HES-001404,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Francouzská Polynésie,French Polynesia,amcr,HES-001399,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Francouzská jižní a antarktická území,French Southern Territories (the),amcr,HES-001228,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Gabon,Gabon,amcr,HES-001400,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Gambie,Gambia (the),amcr,HES-001256,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Ghana,Ghana,amcr,HES-001242,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Gibraltar,Gibraltar,amcr,HES-001264,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Grenada,Grenada,amcr,HES-001265,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Gruzie,Georgia,amcr,HES-001391,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Grónsko,Greenland,amcr,HES-001266,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guadeloupe,Guadeloupe,amcr,HES-001203,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guam,Guam,amcr,HES-001217,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guatemala,Guatemala,amcr,HES-001218,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guernsey,Guernsey,amcr,HES-001301,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guinea,Guinea,amcr,HES-001219,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guinea-Bissau,Guinea-Bissau,amcr,HES-001302,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Guyana,Guyana,amcr,HES-001401,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Haiti,Haiti,amcr,HES-001214,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Heardův ostrov a MacDonaldovy ostrovy,Heard Island and McDonald Islands,amcr,HES-001275,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
Honduras,Honduras,amcr,HES-001276,zeme,zeme,Cultural & Geographic Context,heslar:zeme,0
